time, light, accx, accy, accz,
3.232, 2.06963, -0.0801411, -0.00104946, 9.86779, 
3.264, 2.07629, 0.00890239, 0.0696685, 9.77499, 
3.296, 2.08799, -0.00887832, 0.0190363, 9.80536, 
3.328, 2.06885, -1.84757, 0.382377, 9.82313, 
3.36, 2.0911, 0.0190851, 0.306052, 9.78299, 
3.392, 2.09695, -0.0386187, -0.0041262, 9.85547, 
3.424, 2.10801, -0.0250572, -0.0965759, 9.89202, 
3.456, 2.12099, -1.28815, 0.168871, 9.87355, 
3.488, 2.12685, -0.000614584, 0.114703, 9.73708, 
3.52, 2.11945, -0.0793683, -0.0381839, 9.83341, 
3.552, 2.12137, 0.0343802, -0.0522411, 9.73455, 
3.584, 2.12549, -0.000500666, 0.0176161, 9.8079, 
3.616, 2.11409, -0.93019, 0.0439441, 9.78498, 
3.648, 2.12446, -0.0286619, 0.0293387, 9.95368, 
3.68, 2.13376, 0.00487838, 0.0827566, 9.78393, 
3.712, 2.15164, 0.0413308, 0.00812967, 9.78805, 
3.744, 2.1407, -0.0144237, 0.0128717, 9.81852, 
3.776, 2.16448, -0.000479296, -0.0632026, 9.89209, 
3.808, 2.15062, -0.0299605, 0.0460012, 9.91348, 
3.84, 2.14856, -0.0239743, -0.0620914, 9.85495, 
3.872, 2.17623, 0.465241, -0.197742, 9.79609, 
3.904, 2.15742, 0.0928737, 0.105109, 9.7836, 
3.936, 2.15479, -0.0512944, 0.0816622, 9.86575, 
3.968, 2.17693, -0.029029, 0.00520037, 9.88603, 
4, 2.17389, 0.0175892, 0.0040591, 9.77979, 
4.032, 2.1603, 0.0699944, -0.0279291, 9.84771, 
4.064, 2.16735, -0.0466805, 0.0365108, 9.83672, 
4.096, 2.17622, -0.0342612, 0.0476496, 9.86438, 
4.128, 2.18402, -0.0570117, 0.0175145, 9.84626, 
4.16, 2.16834, 0.0933442, 0.00544791, 9.84602, 
4.192, 2.18931, -0.00801112, -0.0399717, 9.84337, 
4.224, 2.16479, -0.0878561, 0.152598, 9.76546, 
4.256, 2.18184, 0.0345543, -0.149462, 9.79214, 
4.288, 2.18723, -0.0253867, 0.121605, 9.84133, 
4.32, 2.19821, 0.0750773, 0.11366, 9.93604, 
4.352, 2.18871, -0.0601014, -0.0296413, 9.79444, 
4.384, 2.17407, -0.0581342, 0.0238122, 9.75941, 
4.416, 2.20004, 0.0776601, 0.0483233, 9.82481, 
4.448, 2.17756, 0.106713, -0.148346, 9.86438, 
4.48, 2.17555, 0.00166144, -0.181771, 9.73144, 
4.512, 2.19526, 0.0353557, 0.0429349, 9.84232, 
4.544, 2.20269, 0.00991261, -0.00898976, 9.7515, 
4.576, 2.17845, -0.029757, -0.0181092, 9.87023, 
4.608, 2.17084, -0.0360927, -0.0619962, 9.85678, 
4.64, 2.1948, -0.0310382, 0.0354591, 9.78241, 
4.672, 2.19811, -0.0541662, 0.0194276, 9.86829, 
4.704, 2.18479, -0.000154999, -0.034135, 9.84165, 
4.736, 2.21174, -0.0267006, -0.027037, 9.83796, 
4.768, 2.18663, -0.0944961, 0.0330884, 9.83584, 
4.8, 2.17607, 0.0103738, -0.0332799, 9.80157, 
4.832, 2.1817, 0.111941, 0.0313856, 9.80175, 
4.864, 2.17871, 0.0352161, 0.00108697, 9.87253, 
4.896, 2.21639, -0.0649404, -0.0116482, 9.93602, 
4.928, 2.20854, 0.0211866, -0.00418753, 9.80049, 
4.96, 2.21001, 0.0317531, 0.0705502, 9.82778, 
4.992, 2.18176, -0.0451241, -0.0584934, 9.80811, 
5.024, 2.20108, 0.0236028, -0.0909074, 9.76818, 
5.056, 2.20195, 0.0112188, 0.00673391, 9.8759, 
5.088, 2.20518, -0.0562386, 0.0650782, 9.75754, 
5.12, 2.21343, 0.0456673, -0.108248, 9.81387, 
5.152, 2.20337, -0.0284104, -0.0355663, 9.79279, 
5.184, 2.19538, -0.0233784, 0.0196821, 9.76038, 
5.216, 2.21129, -0.047388, -0.0377511, 9.79481, 
5.248, 2.20885, 0.074527, 0.0571465, 9.76899, 
5.28, 2.22045, 0.0921535, -0.0588238, 9.77202, 
5.312, 2.21756, 0.0441632, -0.0511098, 9.78839, 
5.344, 2.20691, 0.00987765, -0.0330885, 9.74138, 
5.376, 2.20282, -0.0196864, -0.0191743, 9.87665, 
5.408, 2.22605, 0.00207651, 0.0317463, 9.83466, 
5.44, 2.19325, -0.0129066, 0.00790996, 9.80429, 
5.472, 2.1969, -0.114393, 0.00253939, 9.81891, 
5.504, 2.19945, -0.0434144, -0.0659319, 9.83165, 
5.536, 2.20371, 0.0109016, -0.00751868, 9.78234, 
5.568, 2.22497, -0.0372435, 0.0341425, 9.83927, 
5.6, 2.20907, -0.0293447, 0.0221789, 9.86318, 
5.632, 2.19382, 0.0902456, -0.0188321, 9.83088, 
5.664, 2.22972, 0.0213421, -0.0527335, 9.73336, 
5.696, 2.21836, 0.0625393, 0.044338, 9.81324, 
5.728, 2.20877, 0.0366674, -0.00540316, 9.82496, 
5.76, 2.20846, 0.0108674, -0.0384589, 9.83218, 
5.792, 2.23229, -0.00743719, 0.0962884, 9.76583, 
5.824, 2.20332, 0.0472649, -0.0442153, 9.77812, 
5.856, 2.21464, -0.0224108, -0.10476, 9.72569, 
5.888, 2.22136, -0.0128525, -0.0892717, 9.82736, 
5.92, 2.22529, 0.0928499, -0.0551958, 9.77895, 
5.952, 2.21991, -0.0244565, -0.0405742, 9.83115, 
5.984, 2.22782, -0.0396388, -0.0350575, 9.83092, 
6.016, 2.22407, 0.0395291, 0.0114638, 9.85113, 
6.048, 2.21622, 0.00281887, 0.0569586, 9.81992, 
6.08, 2.22089, -0.0619322, -0.0735019, 9.78808, 
6.112, 2.21998, -0.0661832, -0.118963, 9.89199, 
6.144, 2.2265, -0.0959639, -0.0783368, 9.80276, 
6.176, 2.21092, 0.0910817, -0.0402489, 9.79046, 
6.208, 2.22199, -0.0222992, -0.0398334, 9.82548, 
6.24, 2.21756, 0.0143219, -0.0552911, 9.80714, 
6.272, 2.21581, -0.0715301, 0.00558458, 9.84907, 
6.304, 2.23565, -0.0568323, 0.0153309, 9.86499, 
6.336, 2.21387, -0.0242029, -0.0645546, 9.88221, 
6.368, 2.2165, 0.0911097, -0.0569285, 9.83288, 
6.4, 2.21299, 0.0519117, 0.00449518, 9.83263, 
6.432, 2.23996, -0.00126542, -0.0937081, 9.80922, 
6.464, 2.23678, -0.00835105, -0.108915, 9.87096, 
6.496, 2.23683, -0.0254047, 0.0421902, 9.82401, 
6.528, 2.23816, -0.0999498, 0.0929024, 9.77505, 
6.56, 2.24236, 0.0850284, 0.0200972, 9.82789, 
6.592, 2.23507, 0.0171993, -0.0211187, 9.81042, 
6.624, 2.21831, -0.00287586, 0.0759752, 9.7994, 
6.656, 2.24054, -0.0391658, 0.0741917, 9.73388, 
6.688, 2.24177, 0.0416186, -0.00667645, 9.78002, 
6.72, 2.24797, -0.0359907, -0.0786653, 9.83341, 
6.752, 2.2484, 0.00270774, 0.0828479, 9.87852, 
6.784, 2.23231, -0.00413529, 0.044571, 9.75205, 
6.816, 2.24119, 0.0382468, 0.0245553, 9.93592, 
6.848, 2.2281, 0.0377409, -0.044617, 9.88896, 
6.88, 2.23952, 0.0418051, -0.0808606, 9.79753, 
6.912, 2.22632, -0.0459927, -0.0268952, 9.78211, 
6.944, 2.24023, -0.0414286, -0.0285239, 9.79978, 
6.976, 2.23384, -0.0325889, -0.013927, 9.77817, 
7.008, 2.22587, -0.0179549, -0.0031282, 9.82816, 
7.04, 2.2334, 0.00746674, -0.0414952, 9.73952, 
7.072, 2.22423, 0.0375679, 0.014227, 9.83716, 
7.104, 2.2378, -0.0765082, -0.0175799, 9.89025, 
7.136, 2.23367, -0.00521247, 0.0196342, 9.83602, 
7.168, 2.24776, 0.0659955, 0.00844328, 9.88363, 
7.2, 2.25268, -0.0114255, 0.010343, 9.82304, 
7.232, 2.25212, -0.0111723, -0.0537252, 9.84622, 
7.264, 2.21978, 0.0579279, 0.00096626, 9.92307, 
7.296, 2.23801, 0.0152841, -0.0184269, 9.87919, 
7.328, 2.22424, -0.0100714, 0.0158491, 9.82657, 
7.36, 2.23056, -0.0196717, 0.0512551, 9.80005, 
7.392, 2.24581, 0.0314134, -0.0456327, 9.82071, 
7.424, 2.23484, -0.11023, -0.133406, 9.84489, 
7.456, 2.21632, 0.0382817, -0.0489005, 9.76824, 
7.488, 2.21483, 0.028314, 0.0128816, 9.90456, 
7.52, 2.21917, -0.036769, -0.146876, 9.84488, 
7.552, 2.22054, -0.0178455, -0.0251396, 9.82624, 
7.584, 2.24973, -0.000947286, 0.0780054, 9.76174, 
7.616, 2.23224, -0.00743021, 0.0994232, 9.73451, 
7.648, 2.24669, -0.0620341, 0.0137375, 9.81934, 
7.68, 2.24822, 0.0840331, 0.00481605, 9.86852, 
7.712, 2.25005, -0.0103001, 0.025073, 9.75957, 
7.744, 2.22042, 0.00835558, 0.0529956, 9.82272, 
7.776, 2.23994, 0.0310625, -0.0299821, 9.80659, 
7.808, 2.23445, -0.0184028, -0.0617638, 9.89347, 
7.84, 2.23745, -0.0563641, -0.0031882, 9.80667, 
7.872, 2.21654, -0.00716309, 0.0903796, 9.82411, 
7.904, 2.25322, 0.0541111, -0.0249002, 9.77042, 
7.936, 2.25512, 0.0683321, 0.0165342, 9.76122, 
7.968, 2.2294, -0.0042249, -0.0728564, 9.82599, 
8, 2.22642, -0.0167204, -0.0262808, 9.85743, 
8.032, 2.22039, 0.0396622, -0.106028, 9.85034, 
8.064, 2.23606, -0.0687757, 0.0234575, 9.85927, 
8.096, 2.25423, 0.0401453, -0.0368549, 9.82643, 
8.128, 2.2294, 0.0522761, -0.0226708, 9.83641, 
8.16, 2.24404, 0.0381521, -0.0612944, 9.81557, 
8.192, 2.21636, 0.101849, 0.0830137, 9.80023, 
8.224, 2.23088, -0.0405324, -0.0699713, 9.86564, 
8.256, 2.22978, -0.0101863, 0.0115098, 9.7321, 
8.288, 2.21478, -0.037538, -0.0148076, 9.75557, 
8.32, 2.22321, 0.0387175, -0.0601365, 9.74355, 
8.352, 2.25326, -0.0151166, 0.0295207, 9.78539, 
8.384, 2.24255, 0.0317899, -0.127137, 9.79698, 
8.416, 2.23323, 0.0523163, -0.0515272, 9.79655, 
8.448, 2.24304, -0.0155594, 0.0173563, 9.81751, 
8.48, 2.25247, -0.0624046, 0.0166459, 9.79894, 
8.512, 2.23936, -0.0638297, -0.0309044, 9.813, 
8.544, 2.23668, 0.037063, 0.0478664, 9.74662, 
8.576, 2.2315, -0.0257192, -0.0315344, 9.81118, 
8.608, 2.22873, 0.0449953, -0.0199972, 9.84597, 
8.64, 2.24424, -0.0398252, 0.0183433, 9.8521, 
8.672, 2.21546, 0.0377638, 0.00725461, 9.75226, 
8.704, 2.21333, 0.066283, -0.0250883, 9.87052, 
8.736, 2.23575, 0.00169637, 0.0363375, 9.78416, 
8.768, 2.23341, -0.00811187, -0.0790325, 9.84644, 
8.8, 2.21324, 0.0837824, -0.0252337, 9.71446, 
8.832, 2.22419, 0.0688624, -0.0223488, 9.8403, 
8.864, 2.24102, 0.00157706, 0.0198696, 9.84594, 
8.896, 2.2305, -0.029033, 0.148826, 9.76361, 
8.928, 2.21614, 0.0849462, -0.0141187, 9.77743, 
8.96, 2.21373, -0.0238745, 0.0464713, 9.79864, 
8.992, 2.24764, -0.0218513, -0.0618523, 9.78897, 
9.024, 2.23939, 0.0187226, -0.0760306, 9.74367, 
9.056, 2.23854, -0.0599564, 0.0263946, 9.72943, 
9.088, 2.24737, -0.0647993, 0.0153136, 9.79822, 
9.12, 2.24492, -0.09407, 0.0446999, 9.83994, 
9.152, 2.21205, 0.0539949, 0.083551, 9.80865, 
9.184, 2.22196, 0.0715283, 4.47459e-05, 9.8057, 
9.216, 2.20807, 0.0951881, -0.0206786, 9.79697, 
9.248, 2.24681, 0.0319876, -0.0451023, 9.82129, 
9.28, 2.21442, -0.0228449, -0.0129706, 9.80003, 
9.312, 2.2389, 0.090443, -0.0765856, 9.74491, 
9.344, 2.24592, -0.0233806, -0.00866291, 9.89386, 
9.376, 2.22726, 0.118267, 0.0734551, 9.72664, 
9.408, 2.22476, 0.11249, 0.049993, 9.76076, 
9.44, 2.20799, -0.0228947, 0.0162657, 9.75426, 
9.472, 2.21204, -0.0709796, 0.0569674, 9.69903, 
9.504, 2.20713, -0.0192749, 0.0481503, 9.70215, 
9.536, 2.22283, -0.0563424, -0.00404745, 9.78463, 
9.568, 2.24047, 0.00731191, 0.0645628, 9.74341, 
9.6, 2.23365, -0.00349179, 0.0479913, 9.84028, 
9.632, 2.20614, -0.0750214, 0.0333828, 9.75504, 
9.664, 2.2311, 0.0370496, 0.042987, 9.76252, 
9.696, 2.23617, 0.0361936, 0.0504346, 9.76096, 
9.728, 2.20477, 0.00813253, 0.0387205, 9.75346, 
9.76, 2.20145, -0.010971, 0.0135818, 9.87602, 
9.792, 2.21855, 0.00436587, 0.0709626, 9.84063, 
9.824, 2.23906, 0.0374568, -0.030102, 9.76293, 
9.856, 2.22144, 0.0655359, -0.0267397, 9.86677, 
9.888, 2.22453, 0.00972607, -0.0537573, 9.776, 
9.92, 2.20799, -0.0576734, -0.0337643, 9.83658, 
9.952, 2.23534, 0.0181389, 0.0299061, 9.8626, 
9.984, 2.20841, -0.00112236, 0.0269157, 9.80138, 
10.016, 2.21192, 0.0869515, 0.0554019, 9.79259, 
10.048, 2.20616, -0.00193793, -0.0751533, 9.78258, 
10.08, 2.1982, 0.0631861, 0.0156598, 9.89602, 
10.112, 2.20583, -0.00152988, -0.00513378, 9.74559, 
10.144, 2.23064, 0.027515, 0.0806626, 9.86474, 
10.176, 2.2099, 0.0143604, 0.045516, 9.8484, 
10.208, 2.20152, -0.0301448, 0.0173417, 9.82191, 
10.24, 2.20698, -0.02206, 0.00398594, 9.8065, 
10.272, 2.22869, 0.0222013, -0.0363662, 9.81812, 
10.304, 2.21784, -0.00877361, 0.00349378, 9.70756, 
